   0,          1024,             1,          1024
   1,             0,             0,         15360
   2,          5216,     0.0485119,        107520
   3,         12666,     0.0271849,        465920
   4,         58980,     0.0421961,   1.39776e+06
   5,        102008,     0.0331726,   3.07507e+06
   6,        178612,     0.0348503,   5.12512e+06
   7,        201520,     0.0305823,   6.58944e+06
   8,        206450,     0.0313304,   6.58944e+06
   9,        142482,     0.0278007,   5.12512e+06
  10,         89368,     0.0290621,   3.07507e+06
  11,         32370,     0.0231585,   1.39776e+06
  12,         15888,     0.0341003,        465920
  13,          1992,     0.0185268,        107520
  14,             0,             0,         15360
  15,             0,             0,          1024


0,"Kernel Runtime",0.00880173,s,1.04858e+06
1,"Total Runtime",0.0178366,s,1.04858e+06
