   0,           256,             1,           256
   1,             0,             0,          3072
   2,          1520,     0.0899621,         16896
   3,          2168,     0.0384943,         56320
   4,          9024,     0.0712121,        126720
   5,         11080,      0.054648,        202752
   6,         17664,     0.0746753,        236544
   7,         11080,      0.054648,        202752
   8,          8882,     0.0700915,        126720
   9,          2168,     0.0384943,         56320
  10,          1456,     0.0861742,         16896
  11,             0,             0,          3072
  12,           238,      0.929688,           256


0,"Kernel Runtime",0.000237312,s,65298
1,"Total Runtime",0.00491353,s,65298
