   0,          1024,             1,          1024
   1,             0,             0,         15360
   2,          1658,     0.0154204,        107520
   3,         18688,     0.0401099,        465920
   4,         51986,     0.0371924,   1.39776e+06
   5,        103494,     0.0336558,   3.07507e+06
   6,        166738,     0.0325335,   5.12512e+06
   7,        208328,     0.0316154,   6.58944e+06
   8,        201136,      0.030524,   6.58944e+06
   9,        151248,     0.0295111,   5.12512e+06
  10,         88356,      0.028733,   3.07507e+06
  11,         39716,      0.028414,   1.39776e+06
  12,         13086,     0.0280864,        465920
  13,          2806,     0.0260975,        107520
  14,           312,     0.0203125,         15360
  15,             0,             0,          1024


0,"Kernel Runtime",0.00891514,s,1.04858e+06
1,"Total Runtime",0.0161744,s,1.04858e+06
