   0,           341,       1.33203,           256,    0.3320312,    0.3320312
   1,             0,             0,          3584,            0,            0
   2,             0,             0,         23296,            0,            0
   3,          1194,    0.01281336,         93184,  0.001802885,     0.123348
   4,          2901,    0.01132071,        256256,  0.004702329,     0.293473
   5,          8789,    0.01714887,        512512, 0.0008409559,   0.05156736
   6,         11008,    0.01431901,        768768,  0.001410048,   0.08964605
   7,         13226,    0.01505363,        878592, 0.0002754407,   0.01796852
   8,         12288,    0.01598402,        768768, 0.0005255162,   0.03399529
   9,          9642,    0.01881322,        512512,  0.002860421,    0.1793053
  10,          4266,    0.01664742,        256256, 0.0005151099,   0.03193033
  11,          1450,    0.01556061,         93184,  0.002017514,    0.1489699
  12,           426,     0.0182864,         23296,  0.005236951,    0.4013158
  13,             0,             0,          3584,   0.03738839,            1
  14,             0,             0,           256,            0,            0


0,"Kernel Runtime",0.00018368,s
1,"Total Runtime",0.002241316,s

"Total",65531
"MaxAbsErr",0.3320312
"MaxRelErr",1

