   0,           256,             1,           256,            0,            0
   1,             0,             0,          3584,            0,            0
   2,             0,             0,         23296,            0,            0
   3,          1379,    0.01479868,         93184, 0.0001824348,   0.01248164
   4,          4152,    0.01620255,        256256,  0.000179508,   0.01120312
   5,          8263,    0.01612255,        512512, 0.0001853615,   0.01136636
   6,         12075,    0.01570695,        768768,  2.21133e-05,  0.001405888
   7,         13529,     0.0153985,        878592, 6.942927e-05,  0.004529255
   8,         11901,    0.01548061,        768768,  2.21133e-05,  0.001430495
   9,          8158,    0.01591768,        512512, 3.512113e-05,  0.002201566
  10,          4142,    0.01616352,        256256, 3.121878e-05,  0.001935172
  11,          1246,    0.01337139,         93184, 0.0001717033,   0.01267829
  12,           291,    0.01249141,         23296, 0.0005580357,   0.04276316
  13,           138,    0.03850446,          3584,  0.001116071,   0.02985075
  14,             0,             0,           256,            0,            0


0,"Kernel Runtime",0.000144608,s
1,"Total Runtime",0.005909583,s

"Total",65530
"MaxAbsErr",0.001116071
"MaxRelErr",0.04276316

