   0,           256,             1,           256
   1,             0,             0,          3840
   2,             0,             0,         26880
   3,           626,    0.00537431,        116480
   4,          4284,     0.0122596,        349440
   5,          7076,    0.00920434,        768768
   6,         11368,    0.00887238,   1.28128e+06
   7,         12824,    0.00778458,   1.64736e+06
   8,         12596,    0.00764617,   1.64736e+06
   9,          8482,    0.00661994,   1.28128e+06
  10,          5442,    0.00707886,        768768
  11,          1664,     0.0047619,        349440
  12,           832,    0.00714286,        116480
  13,            48,    0.00178571,         26880
  14,            38,    0.00989583,          3840
  15,             0,             0,           256


0,"Kernel Runtime",0.00023888,s,65536
1,"Total Runtime",0.00190492,s,65536
