   0,          1024,             1,          1024
   1,             0,             0,         14336
   2,          5740,     0.0615986,         93184
   3,         30334,      0.081382,        372736
   4,         74288,     0.0724744,   1.02502e+06
   5,        137630,      0.067135,   2.05005e+06
   6,        198886,     0.0646769,   3.07507e+06
   7,        217682,     0.0619406,   3.51437e+06
   8,        182218,     0.0592565,   3.07507e+06
   9,        118482,     0.0577947,   2.05005e+06
  10,         57580,     0.0561743,   1.02502e+06
  11,         18996,     0.0509637,        372736
  12,          4602,     0.0493862,         93184
  13,          1114,     0.0777065,         14336
  14,             0,             0,          1024


0,"Kernel Runtime",0.00862566,s,1.04858e+06
1,"Total Runtime",0.0104644,s,1.04858e+06
