   0,         65536,             1,         65536
   1,       1048576,             1,   1.04858e+06
   2,       7864320,             1,   7.86432e+06
   3,      36700160,             1,   3.67002e+07
   4,     119275520,             1,   1.19276e+08
   5,     286261248,             1,   2.86261e+08
   6,     524812288,             1,   5.24812e+08
   7,     749731840,             1,   7.49732e+08
   8,     843448320,             1,   8.43448e+08
   9,     749731840,             1,   7.49732e+08
  10,     524812288,             1,   5.24812e+08
  11,     286261248,             1,   2.86261e+08
  12,     119275520,             1,   1.19276e+08
  13,      36700160,             1,   3.67002e+07
  14,       7864320,             1,   7.86432e+06
  15,       1048576,             1,   1.04858e+06
  16,         65536,             1,         65536


0,"Kernel Runtime",0.519195,s
1,"Total Runtime",0.520097,s

"Total",4.2949e+09

